,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,FantasyPts
60,43,Bismack Biyombo,C,30,PHO,61,14,874,119,206,0.578,0,0,0.348,119,206,0.578,0.578,25,70,0.357,89,171,260,56,18,88,51,114,263,2022-2023,926.0
61,44,Buddy Boeheim,SF,23,DET,10,0,90,5,27,0.185,4,25,0.16,1,2,0.5,0.259,2,2,1.0,2,4,6,4,2,0,0,6,16,2022-2023,35.2
62,45,Bogdan Bogdanović,SG,30,ATL,54,9,1508,273,611,0.447,146,360,0.406,127,251,0.506,0.566,64,77,0.831,23,142,165,150,43,18,65,86,756,2022-2023,1297.0
63,46,Bojan Bogdanović,PF,33,DET,59,59,1893,430,882,0.488,145,353,0.411,285,529,0.539,0.57,268,303,0.884,36,187,223,152,34,8,135,113,1273,2022-2023,1759.6
64,47,Bol Bol,PF,23,ORL,70,33,1505,261,478,0.546,30,113,0.265,231,365,0.633,0.577,82,108,0.759,69,336,405,69,30,85,112,92,634,2022-2023,1456.5
65,48,Leandro Bolmaro,SF,22,UTA,14,0,68,3,20,0.15,0,4,0.0,3,16,0.188,0.15,0,0,0.768,4,3,7,7,3,1,7,10,6,2022-2023,29.9
66,49,Devin Booker,SG,26,PHO,53,53,1835,527,1067,0.494,111,316,0.351,416,751,0.554,0.546,306,358,0.855,46,194,240,293,51,18,145,159,1471,2022-2023,2260.5
67,50,Brandon Boston Jr.,SF,21,LAC,22,1,248,51,122,0.418,12,29,0.414,39,93,0.419,0.467,29,38,0.763,7,23,30,20,9,0,12,21,143,2022-2023,224.0
68,51,Chris Boucher,PF,30,TOR,76,0,1523,261,529,0.493,62,189,0.328,199,340,0.585,0.552,128,168,0.762,157,264,421,29,47,64,41,143,712,2022-2023,1552.7
69,52,James Bouknight,SG,22,CHO,34,0,515,69,193,0.358,33,109,0.303,36,84,0.429,0.443,20,30,0.667,8,64,72,41,14,5,32,49,191,2022-2023,363.9
70,53,Jamaree Bouyea,PG,23,TOT,5,0,71,6,14,0.429,2,6,0.333,4,8,0.5,0.5,1,2,0.5,1,5,6,4,4,2,4,6,15,2022-2023,42.2
73,54,Tony Bradley,C,25,CHI,12,0,33,6,12,0.5,3,5,0.6,3,7,0.429,0.625,4,4,1.0,1,10,11,1,1,1,1,2,19,2022-2023,38.7
74,55,Malaki Branham,SG,19,SAS,66,32,1550,269,611,0.44,77,255,0.302,192,356,0.539,0.503,58,70,0.829,28,153,181,127,33,7,76,115,673,2022-2023,1124.7
75,56,Jarrell Brantley,PF,26,UTA,4,0,39,8,14,0.571,4,9,0.444,4,5,0.8,0.714,2,2,1.0,1,5,6,3,0,2,2,3,22,2022-2023,37.7
76,57,Christian Braun,SG,21,DEN,76,6,1181,143,289,0.495,34,96,0.354,109,193,0.565,0.554,40,64,0.625,48,133,181,59,41,17,35,101,360,2022-2023,804.7
77,58,Mikal Bridges,SF-SG,26,TOT,83,83,2963,593,1267,0.468,169,442,0.382,424,825,0.514,0.535,316,353,0.895,79,285,364,273,91,61,127,159,1671,2022-2023,2846.3
80,59,Oshae Brissett,PF,24,IND,65,2,1083,123,319,0.386,48,155,0.31,75,164,0.457,0.461,104,145,0.717,62,156,218,44,33,13,34,79,398,2022-2023,829.5999999999999
81,60,Malcolm Brogdon,PG,30,BOS,67,0,1744,354,732,0.484,132,297,0.444,222,435,0.51,0.574,160,184,0.87,42,238,280,248,45,18,98,109,1000,2022-2023,1799.0
82,61,Dillon Brooks,SF,27,MEM,73,73,2214,392,991,0.396,143,439,0.326,249,552,0.451,0.468,120,154,0.779,45,199,244,189,65,16,104,240,1047,2022-2023,1762.3
83,62,Bruce Brown,SF,26,DEN,80,31,2280,358,741,0.483,91,254,0.358,267,487,0.548,0.545,116,153,0.758,63,265,328,268,87,51,123,190,923,2022-2023,2009.6
84,63,Greg Brown III,PF,21,POR,16,0,93,11,28,0.393,1,7,0.143,10,21,0.476,0.411,5,12,0.417,2,17,19,3,4,5,6,13,28,2022-2023,76.3
85,64,Jaylen Brown,SF,26,BOS,67,67,2405,679,1383,0.491,163,487,0.335,516,896,0.576,0.55,263,344,0.765,78,381,459,232,75,26,197,172,1784,2022-2023,2788.8
86,65,Kendall Brown,SG,19,IND,6,0,40,4,7,0.571,0,1,0.0,4,6,0.667,0.571,1,2,0.5,2,4,6,3,4,0,2,9,9,2022-2023,30.700000000000003
87,66,Moses Brown,C,23,TOT,36,1,294,61,96,0.635,0,0,0.348,61,96,0.635,0.635,33,72,0.458,57,82,139,4,4,14,15,39,155,2022-2023,366.79999999999995
90,67,Sterling Brown,SF,27,LAL,4,0,24,0,4,0.0,0,2,0.0,0,2,0.0,0.0,0,0,0.768,3,5,8,2,3,0,0,4,0,2022-2023,21.6
91,68,Troy Brown Jr.,SF,23,LAL,76,45,1860,200,465,0.43,107,281,0.381,93,184,0.505,0.545,34,39,0.872,62,246,308,95,59,16,49,120,541,2022-2023,1229.1
92,69,Jalen Brunson,PG,26,NYK,68,68,2379,587,1195,0.491,134,322,0.416,453,873,0.519,0.547,325,392,0.829,40,201,241,421,61,15,142,152,1633,2022-2023,2639.7
93,70,Thomas Bryant,C,25,TOT,59,26,1081,230,369,0.623,26,59,0.441,204,310,0.658,0.659,93,126,0.738,86,253,339,31,16,30,38,102,579,2022-2023,1132.3
96,71,Reggie Bullock,SF,31,DAL,78,55,2364,192,470,0.409,151,397,0.38,41,73,0.562,0.569,26,37,0.703,32,251,283,108,54,13,36,166,561,2022-2023,1227.6
97,72,Alec Burks,SG,31,DET,51,8,1122,200,459,0.436,99,239,0.414,101,220,0.459,0.544,153,188,0.814,19,139,158,114,38,8,58,98,652,2022-2023,1092.6
98,73,Deonte Burton,PF,29,SAC,2,0,6,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,0.768,0,0,0,0,0,0,0,0,0,2022-2023,0.0
99,74,Jared Butler,PG,22,OKC,6,1,77,15,32,0.469,7,14,0.5,8,18,0.444,0.578,0,0,0.768,1,3,4,8,5,0,5,5,37,2022-2023,63.8
100,75,Jimmy Butler,PF,33,MIA,64,64,2138,479,888,0.539,36,103,0.35,443,785,0.564,0.56,472,555,0.85,141,234,375,340,117,21,101,80,1466,2022-2023,2739.0
101,76,John Butler,C,20,POR,19,1,221,17,53,0.321,8,35,0.229,9,18,0.5,0.396,3,4,0.75,3,14,17,11,7,9,1,22,45,2022-2023,128.9
102,77,Jamal Cain,PF,23,MIA,18,0,240,37,66,0.561,7,20,0.35,30,46,0.652,0.614,17,22,0.773,15,37,52,12,11,1,6,21,98,2022-2023,208.4
103,78,Kentavious Caldwell-Pope,SG,29,DEN,76,76,2381,292,632,0.462,135,319,0.423,157,313,0.502,0.569,103,125,0.824,35,173,208,183,112,35,86,145,822,2022-2023,1701.1
104,79,Facundo Campazzo,PG,31,DAL,8,0,52,3,13,0.231,3,11,0.273,0,2,0.0,0.346,1,2,0.5,0,2,2,9,6,0,3,3,10,2022-2023,40.9
105,80,Vlatko Čančar,PF,25,DEN,60,9,889,108,227,0.476,43,115,0.374,65,112,0.58,0.57,38,41,0.927,24,104,128,80,22,14,37,84,297,2022-2023,641.6
106,81,Clint Capela,C,28,ATL,65,63,1730,350,536,0.653,0,1,0.0,350,535,0.654,0.653,79,131,0.603,258,459,717,58,45,79,54,139,779,2022-2023,2044.4
107,82,Vernon Carey Jr.,C,21,WAS,11,0,28,2,8,0.25,0,0,0.348,2,8,0.25,0.25,2,2,1.0,3,8,11,3,2,2,2,5,6,2022-2023,33.7
108,83,Jevon Carter,PG,27,MIL,81,39,1810,239,565,0.423,142,337,0.421,97,228,0.425,0.549,31,38,0.816,35,167,202,197,66,29,78,158,651,2022-2023,1395.9
109,84,Wendell Carter Jr.,C,23,ORL,57,54,1690,322,613,0.525,80,225,0.356,242,388,0.624,0.591,144,195,0.738,120,377,497,132,30,33,106,159,868,2022-2023,1745.4
110,85,Michael Carter-Williams,PG,31,ORL,4,0,44,6,14,0.429,1,3,0.333,5,11,0.455,0.464,4,7,0.571,1,4,5,7,1,1,4,5,17,2022-2023,35.5
111,86,Alex Caruso,PG,28,CHI,67,36,1575,130,286,0.455,55,151,0.364,75,135,0.556,0.551,59,73,0.808,42,154,196,193,98,46,77,159,374,2022-2023,1253.7
112,87,Julian Champagnie,SF,21,TOT,17,3,320,59,130,0.454,33,82,0.402,26,48,0.542,0.581,14,17,0.824,10,50,60,10,6,5,11,26,165,2022-2023,274.0
115,88,Justin Champagnie,SF,21,TOT,5,0,34,5,15,0.333,1,5,0.2,4,10,0.4,0.367,0,0,0.768,3,5,8,4,1,0,0,2,11,2022-2023,29.6
118,89,Kennedy Chandler,PG,20,MEM,36,0,281,35,83,0.422,2,15,0.133,33,68,0.485,0.434,6,13,0.462,9,29,38,58,12,5,18,15,78,2022-2023,243.60000000000002
119,90,Max Christie,SG,19,LAL,41,3,512,44,106,0.415,26,62,0.419,18,44,0.409,0.538,14,16,0.875,7,68,75,21,9,7,13,33,128,2022-2023,284.5
120,91,Josh Christopher,SG,21,HOU,64,2,786,153,329,0.465,21,89,0.236,132,240,0.55,0.497,45,60,0.75,20,51,71,73,33,15,60,59,372,2022-2023,650.7
121,92,Brandon Clarke,PF,26,MEM,56,8,1090,229,349,0.656,1,6,0.167,228,343,0.665,0.658,99,137,0.723,92,218,310,72,34,37,55,131,558,2022-2023,1196.0
122,93,Jordan Clarkson,SG,30,UTA,61,61,1988,458,1031,0.444,155,459,0.338,303,572,0.53,0.519,200,245,0.816,72,174,246,270,33,13,186,120,1271,2022-2023,1923.1999999999998
123,94,Nic Claxton,C,23,BRK,76,76,2271,414,587,0.705,0,2,0.0,414,585,0.708,0.705,133,246,0.541,184,518,702,144,65,189,96,212,961,2022-2023,2685.4
124,95,Amir Coffey,SF,25,LAC,50,9,625,56,145,0.386,11,40,0.275,45,105,0.429,0.424,49,63,0.778,17,36,53,53,7,5,21,50,172,2022-2023,330.1
125,96,John Collins,PF,25,ATL,71,71,2130,359,707,0.508,70,240,0.292,289,467,0.619,0.557,143,178,0.803,77,385,462,85,42,73,79,220,931,2022-2023,1878.9
126,97,Zach Collins,C,25,SAS,63,26,1441,284,548,0.518,55,147,0.374,229,401,0.571,0.568,108,142,0.761,116,286,402,180,37,49,129,199,731,2022-2023,1612.4
127,98,Chance Comanche,C,26,POR,1,0,21,3,5,0.6,0,0,0.348,3,5,0.6,0.6,1,4,0.25,2,1,3,0,0,1,0,0,7,2022-2023,13.6
128,99,Mike Conley,PG,35,TOT,67,66,2029,261,610,0.428,135,351,0.385,126,259,0.486,0.539,141,169,0.834,33,149,182,450,73,14,103,139,798,2022-2023,1849.4
131,100,Pat Connaughton,SF,30,MIL,61,33,1443,165,421,0.392,109,322,0.339,56,99,0.566,0.521,27,41,0.659,50,233,283,77,37,11,33,69,466,2022-2023,1032.1
132,101,Xavier Cooks,PF,27,WAS,10,1,126,17,28,0.607,0,1,0.0,17,27,0.63,0.607,4,10,0.4,16,22,38,6,6,4,8,13,38,2022-2023,114.6
133,102,Robert Covington,PF,32,LAC,48,0,779,102,229,0.445,54,136,0.397,48,93,0.516,0.563,30,40,0.75,31,135,166,57,38,33,32,86,288,2022-2023,753.7
134,103,Torrey Craig,PF,32,PHO,79,60,1948,228,500,0.456,100,253,0.395,128,247,0.518,0.556,32,45,0.711,145,281,426,117,50,62,73,179,588,2022-2023,1537.7
135,104,Jae Crowder,PF,32,MIL,18,3,340,45,94,0.479,24,55,0.436,21,39,0.538,0.606,10,12,0.833,17,52,69,27,12,6,7,27,124,2022-2023,294.3
136,105,Jarrett Culver,SF,23,ATL,10,1,137,17,43,0.395,1,12,0.083,16,31,0.516,0.407,9,13,0.692,10,28,38,6,6,2,7,14,44,2022-2023,115.6
137,106,Cade Cunningham,PG,21,DET,12,12,400,93,224,0.415,17,61,0.279,76,163,0.466,0.453,36,43,0.837,12,62,74,72,10,7,39,34,239,2022-2023,447.8
138,107,Seth Curry,SG,32,BRK,61,7,1211,208,449,0.463,94,232,0.405,114,217,0.525,0.568,51,55,0.927,13,87,100,99,36,7,51,96,561,2022-2023,907.5
139,108,Stephen Curry,PG,34,GSW,56,56,1941,559,1133,0.493,273,639,0.427,286,494,0.579,0.614,257,281,0.915,39,302,341,352,52,20,179,117,1648,2022-2023,2622.2
140,109,Dyson Daniels,PG,19,NOP,59,11,1042,87,208,0.418,27,86,0.314,60,122,0.492,0.483,26,40,0.65,36,152,188,134,43,11,57,99,227,2022-2023,758.6
141,110,Anthony Davis,C,29,LAL,56,54,1904,542,962,0.563,19,74,0.257,523,888,0.589,0.573,348,444,0.784,195,507,702,148,59,114,122,146,1451,2022-2023,2912.4
142,111,Johnny Davis,SG,20,WAS,28,5,423,66,171,0.386,17,70,0.243,49,101,0.485,0.436,14,27,0.519,10,55,65,28,10,8,17,48,163,2022-2023,320.0
143,112,Terence Davis,SG,25,SAC,64,5,841,154,364,0.423,89,243,0.366,65,121,0.537,0.545,34,43,0.791,20,119,139,67,43,12,53,104,431,2022-2023,810.3
144,113,JD Davison,SG,20,BOS,12,0,66,8,19,0.421,2,7,0.286,6,12,0.5,0.474,1,2,0.5,2,7,9,11,2,2,4,5,19,2022-2023,54.3
145,114,Darius Days,SF,23,HOU,4,0,25,5,12,0.417,3,10,0.3,2,2,1.0,0.542,2,2,1.0,1,5,6,1,0,1,0,2,15,2022-2023,26.7
146,115,Dewayne Dedmon,C,33,TOT,38,1,426,77,151,0.51,12,39,0.308,65,112,0.58,0.55,33,49,0.673,34,100,134,26,9,19,25,75,199,2022-2023,457.79999999999995
149,116,Matthew Dellavedova,PG,32,SAC,32,0,213,17,50,0.34,9,27,0.333,8,23,0.348,0.43,4,7,0.571,1,12,13,41,7,0,10,20,47,2022-2023,135.1
150,117,DeMar DeRozan,SF,33,CHI,74,74,2682,657,1303,0.504,46,142,0.324,611,1161,0.526,0.522,456,523,0.872,34,309,343,377,83,36,153,186,1816,2022-2023,2997.1
151,118,Moussa Diabaté,C,21,LAC,22,1,195,24,47,0.511,1,2,0.5,23,45,0.511,0.521,10,16,0.625,31,19,50,4,7,8,9,15,59,2022-2023,161.0
152,119,Mamadi Diakite,C,26,CLE,22,2,176,24,50,0.48,7,21,0.333,17,29,0.586,0.55,2,2,1.0,8,22,30,8,4,9,12,26,57,2022-2023,132.0
153,120,Hamidou Diallo,SF,24,DET,56,0,996,215,375,0.573,5,21,0.238,210,354,0.593,0.58,87,148,0.588,57,137,194,55,53,16,71,124,522,2022-2023,973.3
154,121,Gorgui Dieng,C,33,SAS,31,1,358,45,117,0.385,21,75,0.28,24,42,0.571,0.474,10,13,0.769,27,80,107,53,4,14,32,57,121,2022-2023,350.9
155,122,Ousmane Dieng,PF,19,OKC,39,1,569,76,181,0.42,26,98,0.265,50,83,0.602,0.492,15,23,0.652,19,86,105,46,14,7,26,42,193,2022-2023,425.0
156,123,Spencer Dinwiddie,SG-PG,29,TOT,79,79,2725,460,1050,0.438,181,490,0.369,279,560,0.498,0.524,268,330,0.812,28,242,270,515,67,24,145,187,1369,2022-2023,2593.5
159,124,Donte DiVincenzo,SG,26,GSW,72,36,1894,235,540,0.435,150,378,0.397,85,162,0.525,0.574,58,71,0.817,80,245,325,252,97,10,112,133,678,2022-2023,1655.0
160,125,Luka Dončić,PG,23,DAL,66,66,2391,719,1449,0.496,185,541,0.342,534,908,0.588,0.56,515,694,0.742,54,515,569,529,90,33,236,166,2138,2022-2023,3747.3
161,126,Tyler Dorsey,SF,26,DAL,3,0,8,4,5,0.8,1,2,0.5,3,3,1.0,0.9,0,0,0.768,1,1,2,0,0,0,0,0,9,2022-2023,11.4
162,127,Luguentz Dort,SF,23,OKC,74,73,2272,339,873,0.388,135,409,0.33,204,464,0.44,0.466,200,259,0.772,128,216,344,154,75,23,92,243,1013,2022-2023,1858.8
163,128,Ayo Dosunmu,SG,23,CHI,80,51,2098,281,570,0.493,59,189,0.312,222,381,0.583,0.545,66,82,0.805,45,175,220,206,62,26,99,182,687,2022-2023,1425.0
164,129,Devon Dotson,PG,23,WAS,6,0,53,1,10,0.1,1,4,0.25,0,6,0.0,0.15,0,0,0.768,6,4,10,8,5,0,3,9,3,2022-2023,39.0
165,130,Jeff Dowtin,PG,25,TOR,25,0,259,25,57,0.439,5,16,0.313,20,41,0.488,0.482,6,9,0.667,6,17,23,31,9,3,5,13,61,2022-2023,166.1
166,131,PJ Dozier,SF,26,SAC,16,0,79,10,33,0.303,2,16,0.125,8,17,0.471,0.333,0,0,0.768,1,13,14,10,6,1,5,7,22,2022-2023,69.8
167,132,Goran Dragić,PG,36,TOT,58,0,870,141,335,0.421,52,145,0.359,89,190,0.468,0.499,31,45,0.689,16,65,81,151,13,4,63,65,365,2022-2023,676.7
170,133,Andre Drummond,C,29,CHI,67,0,849,166,274,0.606,0,3,0.0,166,271,0.613,0.606,67,125,0.536,138,306,444,33,45,27,75,117,399,2022-2023,1122.3
171,134,Chris Duarte,SF,25,IND,46,12,897,123,333,0.369,55,174,0.316,68,159,0.428,0.452,61,72,0.847,19,96,115,64,25,9,41,65,362,2022-2023,657.0
172,135,David Duke Jr.,SG,23,BRK,23,0,228,36,78,0.462,1,12,0.083,35,66,0.53,0.468,12,17,0.706,11,18,29,21,10,1,18,31,85,2022-2023,166.3
173,136,Kris Dunn,PG,28,UTA,22,3,568,116,216,0.537,17,36,0.472,99,180,0.55,0.576,41,53,0.774,9,91,100,124,25,10,35,58,290,2022-2023,666.0
174,137,Kevin Durant,PF,34,TOT,47,47,1672,483,862,0.56,93,230,0.404,390,632,0.617,0.614,307,334,0.919,17,296,313,235,34,67,156,99,1366,2022-2023,2241.1
177,138,Jalen Duren,C,19,DET,67,31,1670,258,398,0.648,0,2,0.0,258,396,0.652,0.648,96,157,0.611,229,366,595,75,44,59,92,182,612,2022-2023,1655.5
178,139,Tari Eason,PF,21,HOU,82,5,1767,296,660,0.448,59,172,0.343,237,488,0.486,0.493,109,145,0.752,195,301,496,88,96,47,101,189,760,2022-2023,1815.1999999999998
179,140,Anthony Edwards,SG,21,MIN,79,79,2842,707,1541,0.459,213,578,0.369,494,963,0.513,0.528,319,422,0.756,47,411,458,350,125,58,259,186,1946,2022-2023,3310.6
180,141,Kessler Edwards,SF,22,TOT,36,4,385,36,93,0.387,17,55,0.309,19,38,0.5,0.478,11,15,0.733,23,38,61,23,14,6,13,40,100,2022-2023,254.7
183,142,Keon Ellis,SG,23,SAC,16,0,71,7,16,0.438,6,12,0.5,1,4,0.25,0.625,4,7,0.571,4,4,8,6,5,1,1,10,24,2022-2023,59.6
184,143,Joel Embiid,C,28,PHI,66,66,2284,728,1328,0.548,66,200,0.33,662,1128,0.587,0.573,661,771,0.857,113,557,670,274,66,112,226,205,2183,2022-2023,3706.0
185,144,Drew Eubanks,C,25,POR,78,28,1584,214,334,0.641,7,18,0.389,207,316,0.655,0.651,83,125,0.664,132,286,418,103,40,102,67,169,518,2022-2023,1533.1
186,145,Bruno Fernando,C,24,TOT,39,4,405,59,112,0.527,0,4,0.0,59,108,0.546,0.527,35,50,0.7,54,83,137,31,6,34,25,74,153,2022-2023,458.9
189,146,Dorian Finney-Smith,PF,29,TOT,66,66,2009,196,501,0.391,114,338,0.337,82,163,0.503,0.505,45,59,0.763,114,202,316,100,55,36,62,144,551,2022-2023,1291.2
192,147,Malachi Flynn,PG,24,TOR,53,2,691,87,242,0.36,47,133,0.353,40,109,0.367,0.457,25,33,0.758,15,61,76,70,21,4,25,65,246,2022-2023,492.20000000000005
